Summary,Issue Type,Project Key,Description,Priority,Labels,Components,Assignee,Reporter,Due Date,Original Estimate,Environment,Linked Issues,Issue ID,Custom field (WBS Code),Custom field (Dependencies),Custom field (Dependency Type),Custom field (Effort Hours),Custom field (Duration Weeks),Custom field (Resources),Custom field (Deliverables),Custom field (Acceptance Criteria),Custom field (Risks),Custom field (Context)
A011 - Develop Stakeholder Engagement Strategies,Task,PROJ,"WBS: 1.1.2.1.3
Description: Create tailored engagement strategies for different stakeholder groups.
Deliverables: Engagement strategy document; engagement tactics.
Acceptance: Strategies approved by Sponsor.
Context: After A010.",Medium,"activity-list phase-initiation",Initiation,,, , ,"is blocked by: A010",,A011,1.1.2.1.3,A010,FS,56,1.5,"Change Manager (0.7 FTE); Communications Specialist (0.3 FTE)","Engagement strategy; tactics","Strategies approved by Sponsor","Low engagement → Add incentives/cadence","—"
A012 - Create Stakeholder Register and Communication Plan,Task,PROJ,"WBS: 1.1.2.1.4
Description: Develop stakeholder register and detailed communication plan with schedules and responsibilities.
Deliverables: Stakeholder register; communication plan; communication schedule.
Acceptance: Communication plan baselined; roles/responsibilities set.
Context: After A011; plan in generated-documents/management-plans/communication-management-plan.md.",Medium,"activity-list phase-initiation",Initiation,,, , ,"is blocked by: A011",,A012,1.1.2.1.4,A011,FS,40,1,"Communications Specialist (0.5 FTE); Project Manager (0.5 FTE)","Register; comms plan; schedule","Plan baselined; roles set","Channel fragmentation → Standardize","Plan in management-plans/communication-management-plan.md"
A013 - Establish Communication Channels and Protocols,Task,PROJ,"WBS: 1.1.2.2.1
Description: Set up communication channels, protocols, and escalation procedures.
Deliverables: Communication protocols; channel definitions; escalation procedures.
Acceptance: Protocols published incl. escalation SLAs.
Context: After A012.",Medium,"activity-list phase-initiation",Initiation,,, , ,"is blocked by: A012",,A013,1.1.2.2.1,A012,FS,32,1,"Communications Specialist (0.8 FTE); Project Manager (0.2 FTE)","Protocols; channels; escalation","Protocols published with SLAs","Unclear escalation → Runbook","—"
A014 - Set Up Collaboration Platforms and Tools,Task,PROJ,"WBS: 1.1.2.2.2
Description: Configure and deploy collaboration platforms, project management tools, and communication systems.
Deliverables: Configured platforms; user access; training materials.
Acceptance: Platforms configured; access audited; audit logging enabled.
Context: After A013.",Medium,"activity-list phase-initiation",Initiation,,, , ,"is blocked by: A013",,A014,1.1.2.2.2,A013,FS,48,1.5,"IT Support (0.6 FTE); Communications Specialist (0.4 FTE)","Configured platforms; access; training","Configured; access audited; logging enabled","Access gaps → Access review","—"
A015 - Create Communication Templates and Standards,Task,PROJ,"WBS: 1.1.2.2.3
Description: Develop standardized templates, formats, and guidelines for project communications.
Deliverables: Communication templates; style guide; standards document.
Acceptance: Templates adopted org-wide; linting in place.
Context: After A013; use generated-documents/templates/document-template.md; DOCUMENTATION-STYLE-GUIDE.md.",Medium,"activity-list phase-initiation",Initiation,,, , ,"is blocked by: A013",,A015,1.1.2.2.3,A013,FS,24,1,"Communications Specialist (0.6 FTE); Technical Writer (0.4 FTE)","Templates; style guide; standards","Templates adopted; linting/PR checks","Noncompliance → Docs linting","Use document-template.md and style guide"
A016 - Implement Feedback and Escalation Mechanisms,Task,PROJ,"WBS: 1.1.2.2.4
Description: Establish processes and systems for collecting feedback and managing escalations.
Deliverables: Feedback collection system; escalation procedures; response protocols.
Acceptance: System operational; response SLAs defined.
Context: After A014.",Medium,"activity-list phase-initiation",Initiation,,, , ,"is blocked by: A014",,A016,1.1.2.2.4,A014,FS,32,1,"Communications Specialist (0.4 FTE); Process Analyst (0.6 FTE)","Feedback system; escalation; protocols","Operational; SLAs defined","Backlog growth → Triage policy","—"
A017 - Recruit and Assign Core Team Members,Task,PROJ,"WBS: 1.1.3.1.1
Description: Identify, recruit, and assign core project team members with required skills and availability.
Deliverables: Core team roster; role assignments; commitments.
Acceptance: Roster filled; access provisioned.
Context: After A008.",Medium,"activity-list phase-initiation",Initiation,,, , ,"is blocked by: A008",,A017,1.1.3.1.1,A008,FS,60,2,"Project Manager (0.4 FTE); HR Manager (0.3 FTE); Resource Manager (0.3 FTE)","Roster; roles; commitments","Roster filled; access validated","Hiring delays → Backup candidates","—"
A018 - Define Roles, Responsibilities, and RACI,Task,PROJ,"WBS: 1.1.3.1.2
Description: Create detailed role definitions, responsibility assignments, and RACI matrix.
Deliverables: Role descriptions; responsibility matrix; RACI chart.
Acceptance: RACI approved; decision rights documented.
Context: After A017.",Medium,"activity-list phase-initiation",Initiation,,, , ,"is blocked by: A017",,A018,1.1.3.1.2,A017,FS,32,1,"Project Manager (0.8 FTE); Organizational Analyst (0.2 FTE)","Role descriptions; responsibility matrix; RACI","RACI approved; decision rights documented","Ambiguity → DACI addendum","—"
A019 - Establish Team Working Agreements and Protocols,Task,PROJ,"WBS: 1.1.3.1.3
Description: Develop team charter, working agreements, collaboration protocols, and team norms.
Deliverables: Team charter; working agreements; collaboration protocols.
Acceptance: Charter signed by team; quarterly refresh scheduled.
Context: After A018.",Medium,"activity-list phase-initiation",Initiation,,, , ,"is blocked by: A018",,A019,1.1.3.1.3,A018,FS,24,1,"Project Manager (0.6 FTE); Team Members (0.4 FTE)","Team charter; agreements; protocols","Charter signed; refresh scheduled","Norm drift → Quarterly refresh","—"
A020 - Conduct Team Orientation and Training,Task,PROJ,"WBS: 1.1.3.1.4
Description: Provide comprehensive orientation and training for all team members on project objectives, processes, and tools.
Deliverables: Training materials; orientation sessions; competency validation.
Acceptance: Attendance complete; competency checks passed; evidence recorded.
Context: After A019.",Medium,"activity-list phase-initiation",Initiation,,, , ,"is blocked by: A019",,A020,1.1.3.1.4,A019,FS,40,1,"Training Coordinator (0.5 FTE); Subject Matter Experts (0.5 FTE)","Training materials; sessions; competency validation","Attendance complete; competency checks passed","Training gaps → Make-up sessions","—"

...TRUNCATED FOR BREVITY...
